Participant	Block	Trial	Token	Fingercount	F1.x	F1.y	F2.x	F2.y	F3.x	F3.y	F4.x	F4.y	F5.x	F5.y	ReplicationCount
1	1	2	Circle_5	3	1236	698	1337	575	1277	555	_	_	_	_	1
1	1	3	Circle_5	3	1238	668	1360	568	1309	534	_	_	_	_	2
3	1	2	Square_4	3	1823	968	1687	973	1757	878	_	_	_	_	1
3	1	3	Square_4	3	1819	974	1760	884	1686	980	_	_	_	_	2
3	1	2	Rectangle_3	3	1752	937	1815	929	1780	870	_	_	_	_	1
3	1	3	Rectangle_3	3	1742	979	1802	973	1762	906	_	_	_	_	2
3	1	2	Square_5	3	1669	966	1831	955	1757	864	_	_	_	_	1
3	1	3	Square_5	3	1646	370	1532	484	1520	361	_	_	_	_	2
3	1	2	Triangle_4	3	1626	924	1677	818	1722	851	_	_	_	_	1
3	1	3	Triangle_4	3	1702	910	1785	811	1742	789	_	_	_	_	2
3	1	2	Square_3	3	1718	982	1777	909	1825	977	_	_	_	_	1
3	1	3	Square_3	3	1521	310	1603	301	1547	388	_	_	_	_	2
3	1	2	Circle_5	3	1801	831	1652	901	1697	772	_	_	_	_	1
3	1	3	Circle_5	3	1629	430	1547	582	1536	438	_	_	_	_	2
3	1	2	Circle_3	3	1747	662	1674	737	1677	640	_	_	_	_	1
3	1	3	Circle_3	3	1628	388	1708	388	1650	475	_	_	_	_	2
3	1	2	Triangle_5	3	1546	444	1618	310	1555	295	_	_	_	_	1
3	1	3	Triangle_5	3	1468	426	1534	290	1461	275	_	_	_	_	2
3	1	2	Rectangle_5	3	1805	443	1761	548	1851	534	_	_	_	_	1
3	1	3	Rectangle_5	3	1814	316	1755	228	1729	345	_	_	_	_	2
3	1	2	Rectangle_4	3	1734	308	1682	231	1658	325	_	_	_	_	1
3	1	3	Rectangle_4	3	1813	279	1765	200	1740	301	_	_	_	_	2
3	1	2	Circle_4	3	1652	319	1596	437	1552	326	_	_	_	_	1
3	1	3	Circle_4	3	1481	324	1386	331	1435	452	_	_	_	_	2
3	1	2	Triangle_3	3	1572	387	1611	302	1565	299	_	_	_	_	1
3	1	3	Triangle_3	3	1646	231	1608	324	1594	228	_	_	_	_	2
4	1	2	Rectangle_5	3	1243	632	1089	662	1163	586	_	_	_	_	1
4	1	3	Rectangle_5	3	1146	509	1075	581	1224	534	_	_	_	_	2
4	1	2	Rectangle_3	3	1079	587	1172	557	1116	530	_	_	_	_	1
4	1	3	Rectangle_3	3	1314	477	1257	461	1226	512	_	_	_	_	2
4	1	2	Square_4	3	1161	538	1095	508	1039	575	_	_	_	_	1
4	1	3	Square_4	3	1275	542	1203	506	1154	580	_	_	_	_	2
4	1	2	Triangle_5	3	1227	561	1151	558	1182	641	_	_	_	_	1
4	1	3	Triangle_5	3	1299	513	1257	590	1216	510	_	_	_	_	2
4	1	2	Triangle_3	3	1101	579	1159	573	1123	626	_	_	_	_	1
4	1	3	Triangle_3	3	1178	548	1116	548	1157	597	_	_	_	_	2
4	1	2	Circle_5	3	1169	678	1225	536	1127	538	_	_	_	_	1
4	1	3	Circle_5	3	1206	443	1123	566	1100	425	_	_	_	_	2
4	1	2	Circle_3	3	1246	528	1241	613	1177	544	_	_	_	_	1
4	1	3	Circle_3	3	1130	518	1210	526	1165	612	_	_	_	_	2
4	1	2	Triangle_4	3	1148	550	1077	552	1124	617	_	_	_	_	1
4	1	3	Triangle_4	3	1183	550	1251	546	1219	615	_	_	_	_	2
4	1	2	Square_5	3	1129	527	1217	592	1063	632	_	_	_	_	1
4	1	3	Square_5	3	1353	550	1204	606	1260	515	_	_	_	_	2
4	1	2	Circle_4	3	1214	508	1171	631	1117	522	_	_	_	_	1
4	1	3	Circle_4	3	1261	533	1197	633	1159	515	_	_	_	_	2
4	1	2	Rectangle_4	3	1305	581	1190	634	1235	571	_	_	_	_	1
4	1	3	Rectangle_4	3	1273	550	1353	568	1238	621	_	_	_	_	2
4	1	2	Square_3	3	1275	594	1205	572	1189	643	_	_	_	_	1
4	1	3	Square_3	3	1314	555	1242	545	1240	615	_	_	_	_	2
5	1	2	Circle_4	3	1343	608	1232	609	1272	714	_	_	_	_	1
5	1	3	Circle_4	3	1366	671	1282	666	1302	787	_	_	_	_	2
5	1	2	Square_5	3	1338	672	1276	824	1246	659	_	_	_	_	1
5	1	3	Square_5	3	1352	838	1406	673	1326	671	_	_	_	_	2
5	1	2	Square_4	3	1274	702	1243	836	1199	701	_	_	_	_	1
5	1	3	Square_4	3	1300	757	1345	623	1267	623	_	_	_	_	2
5	1	2	Rectangle_3	3	1378	697	1312	693	1340	759	_	_	_	_	1
5	1	3	Rectangle_3	3	1405	641	1367	708	1331	640	_	_	_	_	2
5	1	2	Square_3	3	1292	724	1248	829	1224	717	_	_	_	_	1
5	1	3	Square_3	3	1351	568	1313	671	1288	567	_	_	_	_	2
5	1	2	Triangle_3	3	1340	615	1267	625	1309	676	_	_	_	_	1
5	1	3	Triangle_3	3	1335	710	1259	710	1300	760	_	_	_	_	2
5	1	2	Rectangle_4	3	1335	640	1382	567	1313	568	_	_	_	_	1
5	1	3	Rectangle_4	3	1286	687	1210	688	1237	762	_	_	_	_	2
5	1	2	Triangle_4	3	1160	582	1241	557	1203	639	_	_	_	_	1
5	1	3	Triangle_4	3	1327	520	1249	540	1295	603	_	_	_	_	2
5	1	2	Rectangle_5	3	1239	654	1281	558	1200	564	_	_	_	_	1
5	1	3	Rectangle_5	3	1292	697	1369	708	1318	795	_	_	_	_	2
5	1	2	Triangle_5	3	1213	623	1119	637	1177	715	_	_	_	_	1
5	1	3	Triangle_5	3	1296	711	1341	628	1248	626	_	_	_	_	2
5	1	2	Circle_3	3	1370	601	1287	589	1318	678	_	_	_	_	1
5	1	3	Circle_3	3	1476	634	1399	621	1424	715	_	_	_	_	2
5	1	2	Circle_5	3	1391	661	1428	801	1502	671	_	_	_	_	1
5	1	3	Circle_5	3	1404	663	1313	777	1283	627	_	_	_	_	2
